review_row,source_line,x,y,measured_cm,radius_px,nearest_neighbor_px,median_8_neighbor_px,local_neighbor_median_cm,local_residual_cm,abs_local_residual_cm,local_mad_cm,robust_z_vs_neighbors,repair_note
321,321,116,-165,62.34,201.6953147695801,9.848857801796104,24.8672948741885,73.77000000000001,-11.430000000000007,11.430000000000007,19.050000000000004,0.4046944556859573,
367,367,-122,-154,77.58,196.468827043885,4.47213595499958,14.008971958287798,89.01,-11.430000000000007,11.430000000000007,19.049999999999997,0.40469445568595747,
322,322,112,-156,54.72,192.04166214652486,9.848857801796104,28.120060816481804,66.15,-11.430000000000007,11.430000000000007,19.05,0.40469445568595735,
132,133,-221,-2,138.54,221.00904958847272,2.0,5.049509756796392,149.97,-11.430000000000007,11.430000000000007,17.779999999999987,0.4336012025206689,
271,272,202,164,138.54,260.1922366251537,3.1622776601683795,5.894144522283677,149.97,-11.430000000000007,11.430000000000007,17.78,0.4336012025206685,
272,273,203,167,146.16,262.86498435508673,2.0,5.377936881542583,157.59,-11.430000000000007,11.430000000000007,19.05000000000001,0.40469445568595713,
365,365,-113,-146,62.34,184.6212338816963,5.830951894845301,16.430647008220866,73.77000000000001,-11.430000000000007,11.430000000000007,15.239999999999995,0.5058680696074469,
351,351,25,-255,171.56,256.2225595063791,1.4142135623730951,5.692582403567252,182.99,-11.430000000000007,11.430000000000007,19.049999999999997,0.40469445568595747,
376,376,-144,-181,146.16,231.29418496797535,2.0,5.830951894845301,157.59,-11.430000000000007,11.430000000000007,19.05000000000001,0.40469445568595713,
261,262,166,140,72.5,217.1543230055529,8.06225774829855,18.08102678272534,83.93,-11.430000000000007,11.430000000000007,15.239999999999995,0.5058680696074469,
378,378,-146,-184,161.4,234.88720697390056,2.23606797749979,5.15154392492244,172.83,-11.430000000000007,11.430000000000007,19.049999999999997,0.40469445568595747,
370,370,-131,-167,100.44,212.24985276791125,3.605551275463989,10.018099141842427,111.87,-11.430000000000007,11.430000000000007,19.050000000000004,0.4046944556859573,
200,201,-165,156,166.48,227.0704736419951,1.0,3.0,177.91,-11.430000000000007,11.430000000000007,15.239999999999995,0.5058680696074469,
371,371,-131,-171,108.06,215.41123461880997,4.0,9.220197744320652,119.49000000000001,-11.430000000000007,11.430000000000007,19.049999999999997,0.40469445568595747,
372,372,-135,-174,115.68,220.22942582679545,2.8284271247461903,8.273769561268558,127.11000000000001,-11.430000000000007,11.430000000000007,19.049999999999997,0.40469445568595747,
213,214,-6,244,171.56,244.07375934335914,2.23606797749979,3.5615528128088303,182.99,-11.430000000000007,11.430000000000007,16.510000000000005,0.4669551411761045,
375,375,-141,-180,138.54,228.65038814749474,2.8284271247461903,6.029989243462614,149.97,-11.430000000000007,11.430000000000007,19.049999999999997,0.40469445568595747,
377,377,-144,-183,153.78,232.86262044390037,2.0,5.322882462276066,165.21,-11.430000000000007,11.430000000000007,19.049999999999997,0.40469445568595747,
260,261,159,136,64.88,209.2295390235327,8.06225774829855,20.408711198990147,76.31,-11.430000000000007,11.430000000000007,17.462500000000002,0.44148486074831705,
330,330,12,-105,14.08,105.68348972285122,23.021728866442675,55.24375823236777,25.51,-11.430000000000001,11.430000000000001,4.445000000000002,1.734404810082673,
329,329,37,-96,14.08,102.88342918079665,26.570660511172846,42.423714918475866,25.51,-11.430000000000001,11.430000000000001,4.445000000000002,1.734404810082673,
332,332,22,-138,29.32,139.74262055650738,13.45362404707371,33.687823852965195,40.75,-11.43,11.43,15.239999999999998,0.5058680696074465,
335,335,14,-180,52.18,180.54362353736008,9.433981132056603,21.770765772511524,63.61,-11.43,11.43,17.462500000000002,0.4414848607483168,
154,155,-179,5,49.64,179.06981878585793,3.0,10.132452737240074,61.07,-11.43,11.43,6.350000000000001,1.214083367057871,
358,358,-81,-111,24.240000000000002,137.41178988718545,11.40175425099138,28.086635823219545,35.67,-11.43,11.43,20.32,0.3794010522055848,
331,331,13,-128,21.7,128.65846260545786,13.45362404707371,40.50609665440987,33.129999999999995,-11.429999999999996,11.429999999999996,12.3825,0.6226068549014723,
184,185,-142,131,67.42,193.19679086361657,5.0,10.373844815520682,78.85,-11.429999999999993,11.429999999999993,16.510000000000005,0.4669551411761039,
320,320,125,-173,69.96000000000001,213.43383049554257,10.0,21.400934559032695,81.39,-11.429999999999993,11.429999999999993,19.049999999999997,0.40469445568595697,
226,227,-6,218,95.36,218.08255317654368,2.23606797749979,6.692582403567252,106.78999999999999,-11.429999999999993,11.429999999999993,11.430000000000014,0.674490759476594,
264,265,180,151,92.82000000000001,234.94893062110327,4.47213595499958,12.6478150704935,104.25,-11.429999999999993,11.429999999999993,16.510000000000005,0.4669551411761039,
369,369,-129,-164,92.82000000000001,208.65521800328887,3.605551275463989,11.934229702712152,104.25,-11.429999999999993,11.429999999999993,19.049999999999997,0.40469445568595697,
368,368,-125,-160,85.2,203.03940504246953,5.656854249492381,11.855151986820308,96.63,-11.429999999999993,11.429999999999993,19.050000000000004,0.4046944556859568,
317,317,138,-190,92.82000000000001,234.82759633399138,5.830951894845301,12.104001362928539,104.25,-11.429999999999993,11.429999999999993,7.6200000000000045,1.0117361392148916,
366,366,-120,-150,69.96000000000001,192.09372712298546,4.47213595499958,15.267880483271522,81.39,-11.429999999999993,11.429999999999993,17.144999999999996,0.4496605063177299,
339,339,21,-212,80.12,213.03755537463343,4.0,15.0,91.55,-11.429999999999993,11.429999999999993,18.415,0.41864943691650713,
341,341,22,-223,95.36,224.08257406590099,6.082762530298219,12.66123775561495,106.78999999999999,-11.429999999999993,11.429999999999993,19.050000000000004,0.4046944556859568,
194,195,-159,148,128.38,217.22108553268947,0.0,4.621320343559642,116.95,11.429999999999993,11.429999999999993,16.509999999999998,0.4669551411761041,
342,342,21,-229,102.98,229.96086623597503,5.830951894845301,12.20087712549569,114.41,-11.429999999999993,11.429999999999993,19.050000000000004,0.4046944556859568,
346,346,25,-244,133.46,245.27739398485136,3.0,6.697811566101118,144.89,-11.429999999999978,11.429999999999978,19.049999999999997,0.40469445568595647,
53,54,-148,185,200.77,236.9155967850154,0.0,1.0,212.2,-11.429999999999978,11.429999999999978,8.89,0.867202405041335,
374,374,-139,-178,130.92000000000002,225.84286572747877,2.8284271247461903,6.451009853355388,142.35,-11.429999999999978,11.429999999999978,19.050000000000004,0.4046944556859563,
275,276,208,168,169.02,267.37239947309445,1.0,4.47213595499958,180.45,-11.429999999999978,11.429999999999978,12.700000000000017,0.6070416835289337,
347,347,25,-247,141.08,248.26195842295292,2.0,6.697811566101118,152.51,-11.429999999999978,11.429999999999978,19.049999999999997,0.40469445568595647,
