csv_line,x,y,measured_cm,radius_px,nearest_neighbor_px,local_neighbor_median_cm,local_residual_cm,abs_local_residual_cm,robust_z_vs_neighbors
324,14,-180,52.18,180.54362353736008,9.433981132056603,63.61,-11.43,11.43,0.4414848607483168
318,37,-96,14.08,102.88342918079665,26.570660511172846,25.509999999999998,-11.429999999999998,11.429999999999998,1.7344048100826728
319,12,-105,14.08,105.68348972285122,23.021728866442675,25.509999999999998,-11.429999999999998,11.429999999999998,1.7344048100826728
320,13,-128,21.7,128.65846260545786,13.45362404707371,33.129999999999995,-11.429999999999996,11.429999999999996,0.6226068549014723
309,125,-173,69.96000000000001,213.43383049554257,10.0,81.39,-11.429999999999993,11.429999999999993,0.40469445568595697
173,-142,131,67.42,193.19679086361657,5.0,78.85,-11.429999999999993,11.429999999999993,0.4669551411761041
215,-6,218,95.36,218.08255317654368,2.23606797749979,106.78999999999999,-11.429999999999993,11.429999999999993,0.674490759476594
355,-122,-154,77.58,196.468827043885,4.47213595499958,89.00999999999999,-11.429999999999993,11.429999999999993,0.40469445568595697
328,21,-212,80.12,213.03755537463343,4.0,91.55,-11.429999999999993,11.429999999999993,0.41864943691650713
330,22,-223,95.36,224.08257406590099,6.082762530298219,106.78999999999999,-11.429999999999993,11.429999999999993,0.4046944556859568
331,21,-229,102.98,229.96086623597503,5.830951894845301,114.41,-11.429999999999993,11.429999999999993,0.4046944556859568
356,-125,-160,85.2,203.03940504246953,5.656854249492381,96.63,-11.429999999999993,11.429999999999993,0.4046944556859568
354,-120,-150,69.96000000000001,192.09372712298546,4.47213595499958,81.39,-11.429999999999993,11.429999999999993,0.4496605063177299
362,-139,-178,130.92000000000002,225.84286572747877,2.8284271247461903,142.35,-11.429999999999978,11.429999999999978,0.4046944556859563
264,208,168,169.02,267.37239947309445,1.0,180.45,-11.429999999999978,11.429999999999978,0.6070416835289344
263,207,168,161.4,266.59519875646674,1.0,172.82999999999998,-11.429999999999978,11.429999999999978,0.40469445568595647
367,-147,-186,169.02,237.0759372015642,2.23606797749979,180.45,-11.429999999999978,11.429999999999978,0.40469445568595647
366,-146,-184,161.4,234.88720697390056,2.23606797749979,172.82999999999998,-11.429999999999978,11.429999999999978,0.40469445568595647
336,25,-247,141.08,248.26195842295292,2.0,152.51,-11.429999999999978,11.429999999999978,0.40469445568595647
335,25,-244,133.46,245.27739398485136,3.0,144.89,-11.429999999999978,11.429999999999978,0.40469445568595647
379,138,122,57.895,184.19554826325202,4.123105625617661,47.1,10.795000000000002,10.795000000000002,0.6370190506167844
29,-140,167,110.6,217.91970998512272,1.0,121.395,-10.795000000000002,10.795000000000002,0.955528575925176
378,33,-169,45.195,172.19175357722565,17.204650534085253,55.989999999999995,-10.794999999999995,10.794999999999995,0.49853664830878736
327,24,-205,73.77,206.40009689920205,6.708203932499369,83.93,-10.16000000000001,10.16000000000001,0.3854232911294833
241,86,88,16.62,123.0447073221762,10.295630140987,26.78,-10.16,10.16,0.6744907594765954
185,-162,152,143.62,222.14409737825582,1.4142135623730951,153.78,-10.159999999999997,10.159999999999997,0.44966050631773014
190,-166,156,174.1,227.7981562699751,1.0,184.26,-10.159999999999997,10.159999999999997,0.4150712366009814
115,-232,-2,196.96,232.0086205294967,0.0,186.8,10.159999999999997,10.159999999999997,0.30833863290358654
255,189,156,108.06,245.0652974209119,5.0,118.22,-10.159999999999997,10.159999999999997,0.4150712366009814
201,-5,246,179.18,246.05080776132397,1.0,189.34,-10.159999999999997,10.159999999999997,0.4150712366009814
209,-6,230,125.84,230.07824755939012,1.4142135623730951,136.0,-10.159999999999997,10.159999999999997,0.41507123660098155
258,197,162,125.84,255.05489605181077,2.23606797749979,136.0,-10.159999999999997,10.159999999999997,0.41507123660098155
174,-146,134,75.04,198.17164277464119,4.47213595499958,85.19999999999999,-10.159999999999982,10.159999999999982,0.4496605063177293
204,-7,240,158.86,240.10206163213175,1.4142135623730951,169.01999999999998,-10.159999999999968,10.159999999999968,0.4150712366009802
53,-148,184,196.96,236.13555429032706,1.4142135623730951,187.1175,9.842500000000001,9.842500000000001,0.9956768354178305
216,-8,213,87.74,213.15018179677915,4.0,97.265,-9.525000000000006,9.525000000000006,1.0117361392148931
48,-149,178,179.18,232.13142829009604,1.0,169.655,9.525000000000006,9.525000000000006,0.843113449345744
46,-149,177,171.56,231.36551169091732,1.0,162.035,9.525000000000006,9.525000000000006,0.8093889113719147
42,-149,175,156.32,229.83907413666634,0.0,165.845,-9.525000000000006,9.525000000000006,0.9197601265589941
326,21,-199,67.42,200.10497245196083,6.708203932499369,76.945,-9.524999999999991,9.524999999999991,0.36133433543388993
203,-6,241,166.48,241.07467722678797,1.4142135623730951,175.37,-8.890000000000015,8.890000000000015,0.36318733202585973
192,-168,156,186.8,229.2596780945136,0.0,177.91,8.890000000000015,8.890000000000015,0.39345294302801465
265,210,168,176.64,268.93121797217964,2.0,185.53,-8.890000000000015,8.890000000000015,0.590179414542022
205,-6,239,153.78,239.07530194480566,1.4142135623730951,162.67000000000002,-8.890000000000015,8.890000000000015,0.36318733202585946
252,176,149,87.74,230.6013876801265,4.47213595499958,96.63,-8.89,8.89,0.3372453797382976
246,134,121,44.56,180.54639292990598,4.123105625617661,53.45,-8.89,8.89,0.4721435316336167
257,194,161,120.76,252.10513679812237,2.23606797749979,129.65,-8.89,8.89,0.39345294302801403
210,-7,229,120.76,229.10696191953662,1.4142135623730951,129.65,-8.89,8.89,0.39345294302801403
279,161,17,34.4,161.89502771858065,40.44749683231337,43.29,-8.89,8.89,0.24849659559664036
259,199,163,133.46,257.2353008434107,2.23606797749979,142.35,-8.889999999999986,8.889999999999986,0.33724537973829705
269,212,171,194.42,272.3692346796899,1.0,185.53,8.889999999999986,8.889999999999986,0.5901794145420193
303,152,-204,115.68,254.40125785852553,1.4142135623730951,124.57,-8.889999999999986,8.889999999999986,0.4292213923941963
30,-141,167,115.68,218.56349191939628,1.0,124.57,-8.889999999999986,8.889999999999986,0.7263746640517147
199,-3,248,191.88,248.0181444975347,1.0,182.99,8.889999999999986,8.889999999999986,0.3631873320258583
247,143,125,49.64,189.9315666233499,5.830951894845301,57.5775,-7.9375,7.9375,0.3832333860662473
5,-101,114,26.018,152.3056138164316,4.123105625617661,33.765,-7.747,7.747,1.028598408201808
66,-18,236,148.7,236.6854452643846,1.4142135623730951,156.32,-7.6200000000000045,7.6200000000000045,0.5058680696074469
245,125,120,39.48,173.27723451163456,9.055385138137417,47.1,-7.6200000000000045,7.6200000000000045,0.4375075196604944
183,-159,148,128.38,217.22108553268947,0.0,120.75999999999999,7.6200000000000045,7.6200000000000045,0.31130342745073647
123,-218,2,125.84,218.00917411888886,1.0,118.22,7.6200000000000045,7.6200000000000045,0.404694455685957
384,-163,-4,44.56,163.04907236779974,9.433981132056603,36.94,7.6200000000000045,7.6200000000000045,0.6744907594765955
178,-153,142,97.9,208.7414668914636,1.0,105.52000000000001,-7.6200000000000045,7.6200000000000045,0.36790405062359743
67,-19,235,143.62,235.76683396949622,1.4142135623730951,151.24,-7.6200000000000045,7.6200000000000045,0.40469445568595774
299,165,-218,171.56,273.40263349134,1.0,179.18,-7.6200000000000045,7.6200000000000045,0.2697963037906383
128,-210,2,100.44,210.00952359357422,1.0,108.06,-7.6200000000000045,7.6200000000000045,0.36790405062359743
290,149,-192,100.44,243.03291958086666,5.385164807134504,108.06,-7.6200000000000045,7.6200000000000045,0.4496605063177304
305,143,-197,100.44,243.4296612987004,5.0990195135927845,108.06,-7.6200000000000045,7.6200000000000045,0.4496605063177304
127,-211,2,105.52,211.00947846009194,1.0,113.14,-7.6200000000000045,7.6200000000000045,0.40469445568595724
317,68,-107,20.43,126.77933585565118,8.602325267042627,28.05,-7.620000000000001,7.620000000000001,0.6744907594765954
244,118,112,34.4,162.68988905276197,10.63014581273465,42.019999999999996,-7.619999999999997,7.619999999999997,0.3372453797382976
144,-174,-2,44.56,174.01149387324966,8.48528137423857,52.18,-7.619999999999997,7.619999999999997,0.5781349366942242
170,-134,123,49.64,181.89282558693733,2.23606797749979,57.26,-7.619999999999997,7.619999999999997,0.33724537973829755
179,-155,144,102.98,211.56795598577776,1.4142135623730951,110.6,-7.61999999999999,7.61999999999999,0.33724537973829727
157,-110,12,12.81,110.65260954898443,3.605551275463989,19.795,-6.985000000000001,6.985000000000001,1.2365663923737584
25,-134,162,96.63,210.23796041628637,2.0,89.645,6.984999999999999,6.984999999999999,0.6182831961868784
16,-119,144,59.8,186.80738743422327,4.242640687119285,52.815,6.984999999999999,6.984999999999999,0.6182831961868791
141,-186,4,59.8,186.04300578092153,2.23606797749979,66.15,-6.3500000000000085,6.3500000000000085,0.8431134493457455
131,-202,3,85.2,202.02227599945508,1.0,78.85,6.3500000000000085,6.3500000000000085,0.8431134493457455
142,-182,5,54.72,182.0686683644388,3.0,61.07,-6.350000000000001,6.350000000000001,0.5620756328971624
316,73,-114,24.24,135.36986370680884,6.4031242374328485,30.59,-6.350000000000001,6.350000000000001,0.44966050631773036
158,-84,81,12.81,116.69190203266035,6.324555320336759,19.16,-6.35,6.35,1.27
276,280,-2,179.18,280.0071427660373,0.0,185.53,-6.349999999999994,6.349999999999994,0.3372453797382972
18,-132,147,75.04,197.56770991232347,2.23606797749979,81.39,-6.349999999999994,6.349999999999994,0.8431134493457436
28,-138,166,106.79,215.87033144922904,2.23606797749979,113.14,-6.349999999999994,6.349999999999994,0.4215567246728718
129,-207,3,92.82,207.02173798903343,2.0,86.47,6.349999999999994,6.349999999999994,0.5620756328971623
118,-226,-1,161.4,226.00221237855172,1.4142135623730951,167.75,-6.349999999999994,6.349999999999994,0.16059303797061775
6,-102,118,29.32,155.97435686676192,4.123105625617661,35.3525,-6.032499999999999,6.032499999999999,0.6744907594765952
36,-145,171,136.0,224.2008028531566,0.0,142.0325,-6.032499999999999,6.032499999999999,0.5339718512523051
45,-148,176,167.75,229.95651762887695,1.0,162.035,5.715000000000003,5.715000000000003,0.39163979582512
10,-112,128,39.48,170.0823330037544,3.605551275463989,45.195,-5.715000000000003,5.715000000000003,0.6070416835289363
50,-146,182,184.895,233.32380932943812,1.0,190.61,-5.715000000000003,5.715000000000003,0.3794010522055846
43,-149,175,160.13,229.83907413666634,0.0,165.845,-5.715000000000003,5.715000000000003,0.5518560759353964
156,-113,10,14.08,113.44161493913951,3.605551275463989,19.795,-5.715000000000002,5.715000000000002,1.0117361392148934
22,-132,157,83.93,205.11703976023054,2.0,89.645,-5.714999999999989,5.714999999999989,0.5058680696074451
49,-146,181,181.72,232.54461937443318,1.0,187.1175,-5.397500000000008,5.397500000000008,0.4095122468250762
75,-19,223,111.87,223.80795338861395,2.0,106.78999999999999,5.0800000000000125,5.0800000000000125,0.4496605063177318
286,278,12,186.8,278.25887227544064,2.23606797749979,181.72,5.0800000000000125,5.0800000000000125,0.2697963037906387
266,212,170,184.26,271.7425251961864,0.0,189.34,-5.0800000000000125,5.0800000000000125,0.33724537973829855
145,-168,4,39.48,168.04761230080004,6.324555320336759,44.56,-5.080000000000005,5.080000000000005,0.337245379738298
242,99,94,21.7,136.517398158623,12.041594578792296,26.78,-5.080000000000002,5.080000000000002,0.29977367087848694
159,-90,83,14.08,122.42957159118053,6.324555320336759,19.16,-5.08,5.08,1.016
19,-131,149,76.31,198.39858870465787,2.23606797749979,81.39,-5.079999999999998,5.079999999999998,0.5995473417569737
20,-130,156,80.12,203.06649157357302,2.23606797749979,85.2,-5.079999999999998,5.079999999999998,0.4150712366009817
31,-142,167,119.49,219.20994502987313,1.0,124.57,-5.079999999999998,5.079999999999998,0.3597284050541838
302,153,-205,123.3,255.80070367377803,1.4142135623730951,128.38,-5.079999999999998,5.079999999999998,0.2452693670823982
147,-158,6,31.86,158.11388300841898,3.0,36.94,-5.079999999999998,5.079999999999998,0.4496605063177297
168,-125,114,39.48,169.17742166140255,6.4031242374328485,34.4,5.079999999999998,5.079999999999998,0.5395926075812761
64,-20,239,158.86,239.83536019528063,0.0,163.94,-5.079999999999984,5.079999999999984,0.2697963037906372
116,-232,-2,191.88,232.0086205294967,0.0,186.8,5.079999999999984,5.079999999999984,0.15416931645179285
7,-107,122,33.129999999999995,162.27445886522005,3.605551275463989,37.8925,-4.762500000000003,4.762500000000003,0.45988006327949704
52,-147,182,191.88,233.95084953895764,1.0,187.1175,4.762499999999989,4.762499999999989,0.3613343354338894
155,-119,10,15.35,119.41942890501528,6.0,19.795,-4.445000000000002,4.445000000000002,0.7869058860560283
238,-15,116,12.81,116.96580696938743,1.0,17.255000000000003,-4.445000000000002,4.445000000000002,0.8890000000000005
2,-85,88,14.715,122.34786471369249,7.0710678118654755,19.16,-4.445,4.445,0.889
34,-143,171,130.92000000000002,222.91253890259293,1.0,135.365,-4.444999999999993,4.444999999999993,0.33724537973829705
383,-128,-131,66.15,183.15294155431957,9.433981132056603,70.595,-4.444999999999993,4.444999999999993,0.2623019620186755
47,-150,178,174.1,232.7745690577044,1.0,169.655,4.444999999999993,4.444999999999993,0.31476235442241046
248,150,131,57.26,199.15069670980316,9.219544457292887,61.3875,-4.127500000000005,4.127500000000005,0.19485288607101658
323,14,-169,44.56,169.57889019568444,11.0,48.6875,-4.127499999999998,4.127499999999998,0.18267458069157774
39,-146,173,146.16,226.37358503146962,1.0,142.0325,4.127499999999998,4.127499999999998,0.365349161383156
32,-142,168,123.3,219.97272558205938,0.0,127.11000000000001,-3.8100000000000165,3.8100000000000165,0.31130342745073747
274,285,-1,189.34,285.00175438056516,0.0,185.53,3.8100000000000023,3.8100000000000023,0.25293403480372345
140,-188,3,62.34,188.0239346466295,2.23606797749979,66.15,-3.8100000000000023,3.8100000000000023,0.40469445568595724
191,-168,156,181.72,229.2596780945136,0.0,177.91,3.8100000000000023,3.8100000000000023,0.16862268986914894
139,-191,3,64.88,191.02355875650522,1.4142135623730951,68.69,-3.8100000000000023,3.8100000000000023,0.40469445568595724
138,-192,4,67.42,192.04166214652486,1.4142135623730951,71.23,-3.8100000000000023,3.8100000000000023,0.40469445568595724
298,167,-218,174.1,274.6142749385035,2.0,177.91,-3.8100000000000023,3.8100000000000023,0.13489815189531915
136,-196,4,72.5,196.04081207748553,1.0,76.31,-3.8100000000000023,3.8100000000000023,0.40469445568595774
217,-8,209,80.12,209.15305400591214,4.0,83.93,-3.8100000000000023,3.8100000000000023,0.20234722784297876
134,-200,2,77.58,200.0099997500125,1.4142135623730951,81.39,-3.8100000000000023,3.8100000000000023,0.40469445568595774
