review_row,source_line,x,y,radius_px,angle_deg,measured_cm,radius_roll_median_cm,radius_residual_cm,repair_note
279,280,212.0,170.0,271.7425251961864,38.7256654429182,191.88,171.56,20.319999999999993,
195,196,-161.0,150.0,220.04772209682153,137.0256943781227,136.0,115.68,20.319999999999993,
381,381,-149.0,-189.0,240.66989840858787,-128.25082521043035,184.26,163.94,20.319999999999993,
123,124,-232.0,-2.0,232.0086205294967,-179.50608310138125,191.88,171.56,20.319999999999993,
340,340,21.0,-216.0,217.0184323968819,-84.44702896696319,87.74,106.79,-19.05000000000001,
134,135,-218.0,2.0,218.00917411888886,179.4743653935424,125.84,106.79,19.049999999999997,
132,133,-221.0,-2.0,221.00904958847272,-179.48150031270933,138.54,119.49,19.049999999999997,
397,397,-100.0,137.0,169.61426826773743,126.12671577278991,58.53,39.480000000000004,19.049999999999997,
393,393,-82.0,151.0,171.82840277439584,118.50401152181144,63.61,44.56,19.049999999999997,
130,131,-225.0,-2.0,225.00888871331284,-179.4907175950225,153.78,134.73000000000002,19.049999999999983,
129,130,-226.0,-1.0,226.00221237855172,-179.74648050622798,161.4,143.62,17.78,
305,305,160.0,-211.0,264.8037008804824,-52.82718187101023,143.62,161.4,-17.78,
306,306,162.0,-213.0,267.6060537431842,-52.744710546422915,151.24,169.02,-17.78,
201,202,-166.0,156.0,227.7981562699751,136.77880031567383,174.1,156.32,17.78,
66,67,-20.0,243.0,243.82165613415063,94.70509697726625,196.96,179.18,17.78,
304,304,158.0,-210.0,262.8003044138267,-53.042894233505315,136.0,153.78,-17.78,
386,386,180.0,125.0,219.14607000811125,34.77783136636388,97.9,115.68,-17.78,
377,377,-144.0,-183.0,232.86262044390037,-128.19868517601844,153.78,171.56,-17.78,
125,126,-230.0,-2.0,230.00869548780108,-179.50178838738637,181.72,163.94,17.78,
84,85,-20.0,220.0,220.90722034374522,95.1944289077348,105.52,123.3,-17.78,
288,289,278.0,-2.0,278.0071941515183,-0.4121927414023225,171.56,189.34,-17.78,
225,226,-9.0,219.0,219.18485349129398,92.35329686610831,99.17,115.68,-16.510000000000005,
198,199,-164.0,155.0,225.656819085974,136.61606665068575,156.32,140.445,15.875,
291,291,201.0,11.0,201.30076999355964,3.132465198568036,59.8,75.04,-15.240000000000009,
86,87,-19.0,218.0,218.82641522448793,94.98108193530841,100.44,115.68,-15.240000000000009,
295,295,262.0,12.0,262.2746651889961,2.6224014605410915,136.0,151.24,-15.240000000000009,
50,51,-146.0,183.0,234.10467744152402,128.58336296320985,189.34,174.1,15.240000000000009,
259,260,150.0,131.0,199.15069670980316,41.13179596167828,57.26,72.5,-15.240000000000002,
394,394,-148.0,88.0,172.18594600024707,149.26451229807992,59.8,44.56,15.239999999999995,
282,283,215.0,173.0,275.9601420495358,38.821935097871666,202.04,186.8,15.23999999999998,
374,374,-139.0,-178.0,225.84286572747877,-127.98623745207728,130.92000000000002,146.16,-15.23999999999998,
349,349,27.0,-250.0,251.45377308761942,-83.8359475571712,156.32,141.08,15.23999999999998,
200,201,-165.0,156.0,227.0704736419951,136.60600298928225,166.48,151.875,14.60499999999999,
128,129,-227.0,-2.0,227.00881040171106,-179.49520443144417,166.48,151.875,14.60499999999999,
385,385,-101.0,130.0,164.62381358722072,127.84445846511409,50.910000000000004,36.94,13.970000000000006,
387,387,-136.0,-126.0,185.39687160251654,-137.1858008067756,71.23,57.26,13.970000000000006,
395,395,-128.0,-131.0,183.15294155431957,-134.33637199998674,66.15,52.18,13.970000000000006,
137,138,-212.0,-2.0,212.00943375236866,-179.45948981286935,110.6,96.63,13.969999999999999,
193,194,-159.0,148.0,217.22108553268947,137.05206537040868,120.76,106.79,13.969999999999999,
321,321,116.0,-165.0,201.6953147695801,-54.891619726822185,62.34,76.31,-13.969999999999999,
54,55,-147.0,185.0,236.29219199965115,128.47046400115275,203.31,189.34,13.969999999999999,
281,282,213.0,173.0,274.40481045346127,39.083730588736785,196.96,184.26,12.700000000000017,
272,273,203.0,167.0,262.86498435508673,39.44276779044919,146.16,158.86,-12.700000000000017,
224,225,-8.0,219.0,219.14607000811125,92.09206627948015,102.98,115.68,-12.700000000000003,
227,228,-8.0,213.0,213.15018179677915,92.15094312751602,87.74,100.44,-12.700000000000003,
228,229,-8.0,209.0,209.15305400591214,92.19206972022442,80.12,92.82000000000001,-12.700000000000003,
85,86,-19.0,219.0,219.8226557932553,94.95845091948537,102.98,115.68,-12.700000000000003,
