row_1based,dx,dy,r_px,theta_deg,measured_cm,model_cm,pct_err,robust_z
60,105.15,-56.88,119.5,-28.4,17.000999999999998,17.48,-2.7,-0.53
289,-116.0,170.0,205.8,124.3,161.4,156.54,3.1,0.53
124,131.05,131.73,185.8,45.1,54.72,53.08,3.1,0.53
76,-126.68,-50.77,136.5,-158.2,26.78,25.98,3.1,0.52
111,20.53,-164.71,166.0,-82.9,42.02,43.17,-2.7,-0.52
104,-148.15,-54.75,157.9,-159.7,42.02,40.79,3.0,0.51
155,176.71,-69.15,189.8,-21.4,54.72,53.14,3.0,0.51
103,-151.17,-46.03,158.0,-163.1,42.02,40.82,2.9,0.5
94,5.45,166.66,166.7,88.1,42.02,40.82,2.9,0.5
281,168.0,165.0,235.5,44.5,161.4,156.86,2.9,0.49
190,204.49,-8.76,204.7,-2.5,67.42,65.53,2.9,0.49
54,-57.46,-99.93,115.3,-119.9,17.000999999999998,17.43,-2.5,-0.49
234,132.0,-179.0,222.4,-53.6,110.6,107.55,2.8,0.48
256,-102.0,173.0,200.8,120.5,136.0,132.31,2.8,0.47
182,12.52,-192.71,193.1,-86.3,67.42,69.07,-2.4,-0.47
283,110.0,204.0,231.8,61.7,161.4,165.31,-2.4,-0.46
253,-18.0,209.0,209.8,94.9,136.0,132.41,2.7,0.46
87,174.72,9.72,175.0,3.2,42.02,43.02,-2.3,-0.46
105,-137.11,-78.52,158.0,-150.2,42.02,40.94,2.6,0.45
134,-135.5,105.09,171.5,142.2,54.72,55.98,-2.2,-0.44
146,-62.46,-160.55,172.3,-111.3,54.72,53.34,2.6,0.44
127,46.04,176.72,182.6,75.4,54.72,55.96,-2.2,-0.44
118,174.89,0.6,174.9,0.2,42.02,42.97,-2.2,-0.44
84,137.55,-41.84,143.8,-16.9,26.78,27.38,-2.2,-0.43
3,-67.0,-83.0,106.7,-128.9,14.08,13.75,2.4,0.41
222,51.17,204.88,211.2,76.0,110.6,112.91,-2.0,-0.41
272,180.0,-153.0,236.2,-40.4,136.0,138.75,-2.0,-0.39
137,-153.53,70.21,168.8,155.4,54.72,53.47,2.3,0.39
187,186.86,-81.23,203.8,-23.5,67.42,65.92,2.3,0.38
5,-103.0,-129.0,165.1,-128.6,47.1,48.02,-1.9,-0.38
109,-47.7,-154.72,161.9,-107.1,42.02,42.83,-1.9,-0.38
241,239.0,32.0,241.1,7.6,136.0,138.49,-1.8,-0.36
156,189.09,-25.88,190.9,-7.8,54.72,53.58,2.1,0.36
128,17.06,178.17,179.0,84.5,54.72,53.59,2.1,0.35
164,77.5,177.7,193.9,66.4,67.42,68.64,-1.8,-0.35
115,146.42,-92.55,173.2,-32.3,42.02,42.75,-1.7,-0.34
144,-122.69,-117.91,170.2,-136.1,54.72,55.66,-1.7,-0.34
110,-23.26,-161.21,162.9,-98.2,42.02,42.74,-1.7,-0.34
135,-152.85,72.03,169.0,154.8,54.72,53.64,2.0,0.34
64,140.72,43.4,147.3,17.1,26.78,27.23,-1.7,-0.33
154,160.04,-101.59,189.6,-32.4,54.72,53.66,2.0,0.33
74,-137.96,9.83,138.3,175.9,26.78,27.23,-1.6,-0.33
245,214.0,99.0,235.8,24.8,136.0,133.37,2.0,0.33
22,-147.0,-184.0,235.5,-128.6,184.26,180.77,1.9,0.32
189,191.94,-70.05,204.3,-20.0,67.42,66.15,1.9,0.32
21,-146.0,-183.0,234.1,-128.6,176.64000000000001,179.48,-1.6,-0.32
194,158.57,141.71,212.7,41.8,85.2,86.55,-1.6,-0.31
206,-64.27,-185.45,196.3,-109.1,85.2,86.54,-1.6,-0.31
183,114.92,-164.68,200.8,-55.1,67.42,68.45,-1.5,-0.31
226,-115.67,154.48,193.0,126.8,110.6,108.64,1.8,0.3
150,77.31,-169.67,186.5,-65.5,54.72,55.54,-1.5,-0.3
141,-168.04,-11.96,168.5,-175.9,54.72,55.53,-1.5,-0.3
56,-17.51,-113.47,114.8,-98.8,17.000999999999998,16.71,1.8,0.29
163,119.12,155.85,196.2,52.6,67.42,66.25,1.8,0.29
37,-161.0,1.0,161.0,179.6,44.56,43.79,1.8,0.29
92,71.8,153.7,169.6,65.0,42.02,41.3,1.7,0.29
139,-167.07,15.43,167.8,174.7,54.72,53.78,1.7,0.29
132,-84.47,152.44,174.3,119.0,54.72,55.49,-1.4,-0.28
120,189.52,36.15,192.9,10.8,54.72,55.48,-1.4,-0.28
62,117.81,-21.63,119.8,-10.4,17.000999999999998,17.23,-1.3,-0.27
88,168.27,44.72,174.1,14.9,42.02,42.54,-1.2,-0.25
138,-164.46,35.17,168.2,167.9,54.72,53.89,1.5,0.25
179,-43.79,-181.43,186.6,-103.6,67.42,68.24,-1.2,-0.25
121,179.7,67.48,192.0,20.6,54.72,55.36,-1.2,-0.24
181,-30.18,-185.66,188.1,-99.2,67.42,68.21,-1.2,-0.24
180,-78.24,-165.24,182.8,-115.3,67.42,68.2,-1.1,-0.24
80,3.06,-136.77,136.8,-88.7,26.78,27.09,-1.1,-0.24
117,172.07,-25.59,174.0,-8.5,42.02,42.49,-1.1,-0.23
149,48.54,-175.85,182.4,-74.6,54.72,53.96,1.4,0.23
55,-38.41,-108.59,115.2,-109.5,17.000999999999998,17.19,-1.1,-0.22
47,-43.09,111.06,119.1,111.2,17.000999999999998,17.18,-1.0,-0.22
279,218.0,106.0,242.4,25.9,161.4,163.08,-1.0,-0.22
114,124.85,-117.66,171.6,-43.3,42.02,42.46,-1.0,-0.22
161,146.89,134.45,199.1,42.5,67.42,66.54,1.3,0.21
112,74.18,-151.12,168.3,-63.9,42.02,42.44,-1.0,-0.21
39,117.56,-14.78,118.5,-7.2,17.000999999999998,16.79,1.2,0.2
65,120.56,84.85,147.4,35.1,26.78,27.02,-0.9,-0.19
242,230.0,63.0,238.5,15.3,136.0,134.38,1.2,0.19
310,247.0,17.0,247.6,3.9,161.4,162.81,-0.9,-0.19
35,-146.0,93.0,173.1,147.5,59.8,60.32,-0.9,-0.19
42,91.51,78.31,120.4,40.6,17.000999999999998,16.81,1.2,0.18
59,89.69,-76.27,117.7,-40.4,17.000999999999998,16.81,1.2,0.18
91,96.46,140.88,170.7,55.6,42.02,41.55,1.1,0.18
284,93.0,210.0,229.7,66.1,161.4,162.73,-0.8,-0.18
119,192.82,-7.52,193.0,-2.2,54.72,55.17,-0.8,-0.18
125,113.51,146.89,185.6,52.3,54.72,54.12,1.1,0.17
107,-98.66,-124.67,159.0,-128.4,42.02,41.56,1.1,0.17
61,115.62,-29.38,119.3,-14.3,17.000999999999998,17.14,-0.8,-0.17
44,45.1,111.88,120.6,68.0,17.000999999999998,17.13,-0.8,-0.17
40,118.47,12.67,119.1,6.1,17.000999999999998,16.82,1.1,0.17
89,154.2,79.47,173.5,27.3,42.02,42.34,-0.8,-0.17
151,77.17,-169.24,186.0,-65.5,54.72,55.14,-0.8,-0.17
162,173.04,104.3,202.0,31.1,67.42,66.75,1.0,0.16
145,-90.44,-145.14,171.0,-121.9,54.72,54.17,1.0,0.16
126,82.86,163.84,183.6,63.2,54.72,54.17,1.0,0.16
148,12.22,-179.13,179.5,-86.1,54.72,54.2,1.0,0.15
152,108.58,-152.46,187.2,-54.5,54.72,54.2,1.0,0.15
280,190.0,144.0,238.4,37.2,161.4,159.87,1.0,0.15
185,151.97,-133.12,202.0,-41.2,67.42,66.78,1.0,0.15
178,-96.72,-152.55,180.6,-122.4,67.42,67.84,-0.6,-0.14
247,174.0,153.0,231.7,41.3,136.0,136.82,-0.6,-0.14
233,87.0,-202.0,219.9,-66.7,110.6,109.62,0.9,0.13
108,-75.29,-141.49,160.3,-118.0,42.02,42.25,-0.5,-0.13
45,25.97,117.24,120.1,77.5,17.000999999999998,17.09,-0.5,-0.13
90,135.74,105.67,172.0,37.9,42.02,41.67,0.8,0.13
85,143.78,-13.86,144.4,-5.5,26.78,26.92,-0.5,-0.12
