x,y,measured_cm
190,144,161.4
168,165,161.4
132,194,161.4
110,204,161.4
93,210,161.4
50,225,161.4
-18,216,161.4
-54,203,161.4
-96,181,161.4
-116,170,161.4
-141,148,161.4
-177,89,161.4
-192,48,161.4
-197,-7,161.4
-197,-25,161.4
-181,-85,161.4
-39,-222,161.4
15,-225,161.4
52,-223,161.4
117,-208,161.4
142,-194,161.4
173,-170,161.4
199,-137,161.4
219,-108,161.4
236,-68,161.4
247,-36,161.4
247,17,161.4
