x,y,measured_cm
154,-199,115.68
150,-193,108.06
145,-192,100.44
140,-185,92.82000000000001
135,-182,85.2
133,-176,77.58
127,-168,69.96000000000001
118,-160,62.34
114,-151,54.72
103,-145,47.1
95,-135,39.480000000000004
82,-124,31.86
80,-113,26.78
75,-109,24.240000000000002
70,-102,20.43
39,-91,14.08
14,-100,14.08
15,-123,21.7
24,-133,29.32
21,-154,36.94
16,-164,44.56
16,-175,52.18
21,-183,59.8
23,-194,67.42
26,-200,73.77
23,-207,80.12
23,-211,87.74
24,-218,95.36
23,-224,102.98
26,-229,110.6
26,-232,118.22
26,-235,125.84
27,-239,133.46
27,-242,141.08
27,-244,148.7
29,-245,156.32
29,-248,163.94
27,-250,171.56
26,-251,179.18
27,-253,186.8
27,-256,194.42000000000002
28,-257,202.04
29,-257,207.12
-69,-94,16.62
-79,-106,24.240000000000002
-86,-115,31.86
-68,-79,12.81
-67,-83,14.08
-100,-123,39.480000000000004
-103,-129,47.1
-111,-141,62.34
-118,-145,69.96000000000001
-120,-149,77.58
-123,-155,85.2
-127,-159,92.82000000000001
-129,-162,100.44
-129,-166,108.06
-133,-169,115.68
-135,-171,123.3
-137,-173,130.92000000000002
-139,-175,138.54
-142,-176,146.16
-142,-178,153.78
-144,-179,161.4
-145,-181,169.02
-146,-183,176.64000000000001
-147,-184,184.26
-147,-184,191.88
-148,-185,199.5
-149,-186,207.12
-99,135,50.910000000000004
182,130,97.9
-134,-121,71.23
123,80,26.78
-152,110,99.805
35,-164,45.195
140,127,57.895
-6,184,68.69
-80,156,63.61
-146,93,59.8
-126,-126,66.15
-161,1,44.56
-98,142,58.53
