x,y,measured_cm
121.88,-177.09,85.2
163.59,-149,85.2
205.08,-95.95,85.2
219.05,-47.19,85.2
223.43,-8.77,85.2
229.26,16.91,85.2
214.92,73.59,110.6
184.36,126.59,110.6
169.4,145.83,110.6
140.42,167.82,110.6
111.42,183.9,110.6
51.17,204.88,110.6
4.84,200.52,110.6
-19.39,200.56,110.6
-74,179.5,110.6
-115.67,154.48,110.6
-144.51,122.87,110.6
-130,-142,110.6
-102,-169,110.6
-72,-187,110.6
-31,-200,110.6
24,-213,110.6
87,-202,110.6
132,-179,110.6
157,-170,110.6
180,-136,110.6
201,-105,110.6
213,-78,110.6
224,-53,110.6
227,9,110.6
239,32,136.0
230,63,136.0
221,87,136.0
210,105,136.0
214,99,136.0
192,130,136.0
174,153,136.0
162,161,136.0
127,183,136.0
104,197,136.0
58,207,136.0
21,212,136.0
-18,209,136.0
-57,206,136.0
-55,199,136.0
-102,173,136.0
-132,147,136.0
-156,118,136.0
-174,86,136.0
-189,34,136.0
-192,10,136.0
-191,-23,136.0
-182,-67,136.0
-169,-100,136.0
-133,-149,136.0
-97,-180,136.0
-56,-203,136.0
-17,-217,136.0
-13,-215,136.0
70,-213,136.0
141,-182,136.0
180,-153,136.0
206,-120,136.0
227,-70,136.0
234,-40,136.0
239,2,136.0
243,46,161.4
232,81,161.4
218,106,161.4
190,144,161.4
168,165,161.4
132,194,161.4
110,204,161.4
93,210,161.4
50,225,161.4
-18,216,161.4
-54,203,161.4
-96,181,161.4
-116,170,161.4
-141,148,161.4
-177,89,161.4
-192,48,161.4
-197,-7,161.4
-197,-25,161.4
-181,-85,161.4
-169,-112,161.4
-143,-146,161.4
-107,-186,161.4
-81,-201,161.4
-39,-222,161.4
15,-225,161.4
52,-223,161.4
117,-208,161.4
142,-194,161.4
173,-170,161.4
199,-137,161.4
219,-108,161.4
236,-68,161.4
247,-36,161.4
247,17,161.4
