x,y,measured_cm
-117.56,76.12,26.78
-124.09,64.21,26.78
-134.83,34.64,26.78
-137.96,9.83,26.78
-136.89,-15.2,26.78
-126.68,-50.77,26.78
-113.26,-74.12,26.78
-96.88,-94.08,26.78
-53.72,-124.31,26.78
3.06,-136.77,26.78
63.47,-120.62,26.78
105.24,-89.91,26.78
137.55,-41.84,26.78
143.78,-13.86,26.78
145.2,5.45,26.78
174.72,9.72,42.02
168.27,44.72,42.02
154.2,79.47,42.02
135.74,105.67,42.02
96.46,140.88,42.02
71.8,153.7,42.02
36.59,162.68,42.02
5.45,166.66,42.02
-45.79,158.12,42.02
-85,137.42,42.02
-108.83,119.01,42.02
-129.18,93.88,42.02
-147.29,57.97,42.02
-156.52,16.36,42.02
-157.97,3.39,42.02
-156.57,-19.93,42.02
-151.17,-46.03,42.02
-148.15,-54.75,42.02
-137.11,-78.52,42.02
-118.77,-103.93,42.02
-98.66,-124.67,42.02
-75.29,-141.49,42.02
-47.7,-154.72,42.02
-23.26,-161.21,42.02
20.53,-164.71,42.02
74.18,-151.12,42.02
100.38,-136.62,42.02
124.85,-117.66,42.02
146.42,-92.55,42.02
161.3,-55.07,42.02
172.07,-25.59,42.02
174.89,0.6,42.02
192.82,-7.52,54.72
189.52,36.15,54.72
179.7,67.48,54.72
162.8,96.88,54.72
154.95,108.18,54.72
131.05,131.73,54.72
113.51,146.89,54.72
82.86,163.84,54.72
46.04,176.72,54.72
17.06,178.17,54.72
0.62,176.36,54.72
-17.65,179.09,54.72
-53.43,167.43,54.72
-84.47,152.44,54.72
-112.05,130.63,54.72
-135.5,105.09,54.72
-152.85,72.03,54.72
-138.16,99.91,54.72
-153.53,70.21,54.72
-164.46,35.17,54.72
-167.07,15.43,54.72
-168.07,4.85,54.72
-168.04,-11.96,54.72
-160.02,-55.4,54.72
-144.43,-89.76,54.72
-122.69,-117.91,54.72
-90.44,-145.14,54.72
-62.46,-160.55,54.72
-26.61,-172.1,54.72
12.22,-179.13,54.72
48.54,-175.85,54.72
77.31,-169.67,54.72
77.17,-169.24,54.72
